Source,Target,signal
ACTB,ACTG1,a
ACTG1,ACTB,a
ACTN1,ZYX,u
ACTN1,FLNA,a
ACTN1,PXN,a
ACTN1,ACTN4,a
ACTN1,TLN1,a
ACTN1,FLNB,a
ACTN1,FLNC,a
ACTN1,TLN2,a
ACTN4,FLNA,a
ACTN4,PXN,a
ACTN4,TLN1,a
ACTN4,ACTN1,a
ACTN4,FLNB,a
ACTN4,FLNC,a
ACTN4,TLN2,a
AKT1,"PI3K-Akt
Signaling Pathway",a
AKT1,GSK3B,i
AKT1,AKT2,a
AKT1,AKT3,a
AKT2,"PI3K-Akt
Signaling Pathway",a
AKT2,GSK3B,i
AKT2,AKT1,a
AKT2,AKT3,a
AKT3,"PI3K-Akt
Signaling Pathway",a
AKT3,GSK3B,i
AKT3,AKT2,a
AKT3,AKT1,a
ARHGAP35,ARHGAP5,a
ARHGAP5,RHOA,i
ARHGAP5,ARHGAP35,a
BCAR1,CRK,a
BCAR1,CRKL,a
BCL2,Cell Survival,a
BIRC2,XIAP,a
BIRC2,BIRC3,a
BIRC3,XIAP,a
BIRC3,BIRC2,a
BLK,SHC3,a
BLK,SHC1,a
BLK,SHC2,a
BLK,SHC4,a
BLK,PTK2,a
BLK,PDGFRA,a
BLK,FGR,a
BLK,TNK2,a
BLK,MET,a
BLK,KDR,a
BLK,FLT1,a
BLK,ERBB2,a
BLK,TXK,a
BLK,TESK2,a
BLK,SRMS,a
BLK,PDGFRB,a
BLK,TNK1,a
BLK,HCK,a
BLK,IGF1R,a
BLK,STYK1,a
BLK,EGFR,a
BLK,PTK6,a
BRAF,MAP2K1,a
BUB1B-PAK6,MAP2K1,a
BUB1B-PAK6,RAF1,a
BUB1B-PAK6,MYLK,i
BUB1B-PAK6,MYLK2,i
BUB1B-PAK6,MYLK3,i
BUB1B-PAK6,MYLK4,i
BUB1B-PAK6,PAK3,a
BUB1B-PAK6,PAK6,a
BUB1B-PAK6,PAK4,a
BUB1B-PAK6,PAK1,a
BUB1B-PAK6,PAK2,a
CAPN2,TLN1,i
Catnb,CCND2,a
Catnb,CCND1,a
Catnb,CCND3,a
CAV1,FYN,a
CAV1,CAV3,a
CAV1,CAV2,a
CAV2,FYN,a
CAV2,CAV1,a
CAV2,CAV3,a
CAV3,FYN,a
CAV3,CAV1,a
CAV3,CAV2,a
CCND1,CCND2,a
CCND1,CCND3,a
CCND2,CCND1,a
CCND2,CCND3,a
CCND3,CCND2,a
CCND3,CCND1,a
CDC42,PAK3,a
CDC42,PAK6,a
CDC42,BUB1B-PAK6,a
CDC42,PAK4,a
CDC42,PAK1,a
CDC42,PAK2,a
CDC42,ACTG1,a
CDC42,RAC1,a
CHAD,LAMA1,a
CHAD,COL1A1,a
CHAD,VTN,a
CHAD,THBS3,a
CHAD,COL4A4,a
CHAD,THBS1,a
CHAD,THBS4,a
CHAD,LAMA2,a
CHAD,TNR,a
CHAD,RELN,a
CHAD,IBSP,a
CHAD,SPP1,a
CHAD,COL6A2,a
CHAD,LAMA5,a
CHAD,LAMB1,a
CHAD,COMP,a
CHAD,TNC,a
CHAD,LAMC3,a
CHAD,LAMB2,a
CHAD,LAMA3,a
CHAD,COL4A2,a
CHAD,COL1A2,a
CHAD,COL5A3,a
CHAD,LAMA4,a
CHAD,COL2A1,a
CHAD,LAMB3,a
CHAD,COL5A2,a
CHAD,COL4A6,a
CHAD,THBS2,a
CHAD,LAMC1,a
CHAD,FN1,a
CHAD,LAMC2,a
CHAD,TNN,a
CHAD,TNXB,a
CHAD,VWF,a
CHAD,COL4A1,a
COL1A1,LAMA1,a
COL1A1,VTN,a
COL1A1,THBS3,a
COL1A1,COL4A4,a
COL1A1,THBS1,a
COL1A1,THBS4,a
COL1A1,LAMA2,a
COL1A1,TNR,a
COL1A1,RELN,a
COL1A1,IBSP,a
COL1A1,SPP1,a
COL1A1,COL6A2,a
COL1A1,LAMA5,a
COL1A1,LAMB1,a
COL1A1,CHAD,a
COL1A1,COMP,a
COL1A1,TNC,a
COL1A1,LAMC3,a
COL1A1,LAMB2,a
COL1A1,LAMA3,a
COL1A1,COL4A2,a
COL1A1,COL1A2,a
COL1A1,COL5A3,a
COL1A1,LAMA4,a
COL1A1,COL2A1,a
COL1A1,LAMB3,a
COL1A1,COL5A2,a
COL1A1,COL4A6,a
COL1A1,THBS2,a
COL1A1,LAMC1,a
COL1A1,FN1,a
COL1A1,LAMC2,a
COL1A1,TNN,a
COL1A1,TNXB,a
COL1A1,VWF,a
COL1A1,COL4A1,a
COL1A2,LAMA1,a
COL1A2,COL1A1,a
COL1A2,VTN,a
COL1A2,THBS3,a
COL1A2,COL4A4,a
COL1A2,THBS1,a
COL1A2,THBS4,a
COL1A2,LAMA2,a
COL1A2,TNR,a
COL1A2,RELN,a
COL1A2,IBSP,a
COL1A2,SPP1,a
COL1A2,COL6A2,a
COL1A2,LAMA5,a
COL1A2,LAMB1,a
COL1A2,CHAD,a
COL1A2,COMP,a
COL1A2,TNC,a
COL1A2,LAMC3,a
COL1A2,LAMB2,a
COL1A2,LAMA3,a
COL1A2,COL4A2,a
COL1A2,COL5A3,a
COL1A2,LAMA4,a
COL1A2,COL2A1,a
COL1A2,LAMB3,a
COL1A2,COL5A2,a
COL1A2,COL4A6,a
COL1A2,THBS2,a
COL1A2,LAMC1,a
COL1A2,FN1,a
