Source,Target,signal
COL1A2,LAMC2,a
COL1A2,TNN,a
COL1A2,TNXB,a
COL1A2,VWF,a
COL1A2,COL4A1,a
COL2A1,LAMA1,a
COL2A1,COL1A1,a
COL2A1,VTN,a
COL2A1,THBS3,a
COL2A1,COL4A4,a
COL2A1,THBS1,a
COL2A1,THBS4,a
COL2A1,LAMA2,a
COL2A1,TNR,a
COL2A1,RELN,a
COL2A1,IBSP,a
COL2A1,SPP1,a
COL2A1,COL6A2,a
COL2A1,LAMA5,a
COL2A1,LAMB1,a
COL2A1,CHAD,a
COL2A1,COMP,a
COL2A1,TNC,a
COL2A1,LAMC3,a
COL2A1,LAMB2,a
COL2A1,LAMA3,a
COL2A1,COL4A2,a
COL2A1,COL1A2,a
COL2A1,COL5A3,a
COL2A1,LAMA4,a
COL2A1,LAMB3,a
COL2A1,COL5A2,a
COL2A1,COL4A6,a
COL2A1,THBS2,a
COL2A1,LAMC1,a
COL2A1,FN1,a
COL2A1,LAMC2,a
COL2A1,TNN,a
COL2A1,TNXB,a
COL2A1,VWF,a
COL2A1,COL4A1,a
COL4A1,LAMA1,a
COL4A1,COL1A1,a
COL4A1,VTN,a
COL4A1,THBS3,a
COL4A1,COL4A4,a
COL4A1,THBS1,a
COL4A1,THBS4,a
COL4A1,LAMA2,a
COL4A1,TNR,a
COL4A1,RELN,a
COL4A1,IBSP,a
COL4A1,SPP1,a
COL4A1,COL6A2,a
COL4A1,LAMA5,a
COL4A1,LAMB1,a
COL4A1,CHAD,a
COL4A1,COMP,a
COL4A1,TNC,a
COL4A1,LAMC3,a
COL4A1,LAMB2,a
COL4A1,LAMA3,a
COL4A1,COL4A2,a
COL4A1,COL1A2,a
COL4A1,COL5A3,a
COL4A1,LAMA4,a
COL4A1,COL2A1,a
COL4A1,LAMB3,a
COL4A1,COL5A2,a
COL4A1,COL4A6,a
COL4A1,THBS2,a
COL4A1,LAMC1,a
COL4A1,FN1,a
COL4A1,LAMC2,a
COL4A1,TNN,a
COL4A1,TNXB,a
COL4A1,VWF,a
COL4A2,LAMA1,a
COL4A2,COL1A1,a
COL4A2,VTN,a
COL4A2,THBS3,a
COL4A2,COL4A4,a
COL4A2,THBS1,a
COL4A2,THBS4,a
COL4A2,LAMA2,a
COL4A2,TNR,a
COL4A2,RELN,a
COL4A2,IBSP,a
COL4A2,SPP1,a
COL4A2,COL6A2,a
COL4A2,LAMA5,a
COL4A2,LAMB1,a
COL4A2,CHAD,a
COL4A2,COMP,a
COL4A2,TNC,a
COL4A2,LAMC3,a
COL4A2,LAMB2,a
COL4A2,LAMA3,a
COL4A2,COL1A2,a
COL4A2,COL5A3,a
COL4A2,LAMA4,a
COL4A2,COL2A1,a
COL4A2,LAMB3,a
COL4A2,COL5A2,a
COL4A2,COL4A6,a
COL4A2,THBS2,a
COL4A2,LAMC1,a
COL4A2,FN1,a
COL4A2,LAMC2,a
COL4A2,TNN,a
COL4A2,TNXB,a
COL4A2,VWF,a
COL4A2,COL4A1,a
COL4A4,LAMA1,a
COL4A4,COL1A1,a
COL4A4,VTN,a
COL4A4,THBS3,a
COL4A4,THBS1,a
COL4A4,THBS4,a
COL4A4,LAMA2,a
COL4A4,TNR,a
COL4A4,RELN,a
COL4A4,IBSP,a
COL4A4,SPP1,a
COL4A4,COL6A2,a
COL4A4,LAMA5,a
COL4A4,LAMB1,a
COL4A4,CHAD,a
COL4A4,COMP,a
COL4A4,TNC,a
COL4A4,LAMC3,a
COL4A4,LAMB2,a
COL4A4,LAMA3,a
COL4A4,COL4A2,a
COL4A4,COL1A2,a
COL4A4,COL5A3,a
COL4A4,LAMA4,a
COL4A4,COL2A1,a
COL4A4,LAMB3,a
COL4A4,COL5A2,a
COL4A4,COL4A6,a
COL4A4,THBS2,a
COL4A4,LAMC1,a
COL4A4,FN1,a
COL4A4,LAMC2,a
COL4A4,TNN,a
COL4A4,TNXB,a
COL4A4,VWF,a
COL4A4,COL4A1,a
COL4A6,LAMA1,a
COL4A6,COL1A1,a
COL4A6,VTN,a
COL4A6,THBS3,a
COL4A6,COL4A4,a
COL4A6,THBS1,a
COL4A6,THBS4,a
COL4A6,LAMA2,a
COL4A6,TNR,a
COL4A6,RELN,a
COL4A6,IBSP,a
COL4A6,SPP1,a
COL4A6,COL6A2,a
COL4A6,LAMA5,a
COL4A6,LAMB1,a
COL4A6,CHAD,a
COL4A6,COMP,a
COL4A6,TNC,a
COL4A6,LAMC3,a
COL4A6,LAMB2,a
COL4A6,LAMA3,a
COL4A6,COL4A2,a
COL4A6,COL1A2,a
COL4A6,COL5A3,a
COL4A6,LAMA4,a
COL4A6,COL2A1,a
COL4A6,LAMB3,a
COL4A6,COL5A2,a
COL4A6,THBS2,a
COL4A6,LAMC1,a
COL4A6,FN1,a
COL4A6,LAMC2,a
COL4A6,TNN,a
COL4A6,TNXB,a
COL4A6,VWF,a
COL4A6,COL4A1,a
COL5A2,LAMA1,a
COL5A2,COL1A1,a
COL5A2,VTN,a
COL5A2,THBS3,a
COL5A2,COL4A4,a
COL5A2,THBS1,a
COL5A2,THBS4,a
COL5A2,LAMA2,a
COL5A2,TNR,a
COL5A2,RELN,a
COL5A2,IBSP,a
COL5A2,SPP1,a
COL5A2,COL6A2,a
COL5A2,LAMA5,a
COL5A2,LAMB1,a
COL5A2,CHAD,a
COL5A2,COMP,a
COL5A2,TNC,a
COL5A2,LAMC3,a
COL5A2,LAMB2,a
COL5A2,LAMA3,a
COL5A2,COL4A2,a
COL5A2,COL1A2,a
COL5A2,COL5A3,a
COL5A2,LAMA4,a
COL5A2,COL2A1,a
COL5A2,LAMB3,a
COL5A2,COL4A6,a
COL5A2,THBS2,a
COL5A2,LAMC1,a
COL5A2,FN1,a
COL5A2,LAMC2,a
COL5A2,TNN,a
COL5A2,TNXB,a
COL5A2,VWF,a
COL5A2,COL4A1,a
COL5A3,LAMA1,a
COL5A3,COL1A1,a
COL5A3,VTN,a
COL5A3,THBS3,a
COL5A3,COL4A4,a
COL5A3,THBS1,a
COL5A3,THBS4,a
COL5A3,LAMA2,a
COL5A3,TNR,a
COL5A3,RELN,a
COL5A3,IBSP,a
COL5A3,SPP1,a
COL5A3,COL6A2,a
COL5A3,LAMA5,a
COL5A3,LAMB1,a
COL5A3,CHAD,a
COL5A3,COMP,a
COL5A3,TNC,a
COL5A3,LAMC3,a
COL5A3,LAMB2,a
COL5A3,LAMA3,a
COL5A3,COL4A2,a
COL5A3,COL1A2,a
COL5A3,LAMA4,a
COL5A3,COL2A1,a
COL5A3,LAMB3,a
COL5A3,COL5A2,a
COL5A3,COL4A6,a
COL5A3,THBS2,a
COL5A3,LAMC1,a
COL5A3,FN1,a
COL5A3,LAMC2,a
COL5A3,TNN,a
COL5A3,TNXB,a
COL5A3,VWF,a
COL5A3,COL4A1,a
COL6A2,LAMA1,a
COL6A2,COL1A1,a
COL6A2,VTN,a
COL6A2,THBS3,a
COL6A2,COL4A4,a
COL6A2,THBS1,a
COL6A2,THBS4,a
COL6A2,LAMA2,a
COL6A2,TNR,a
COL6A2,RELN,a
COL6A2,IBSP,a
COL6A2,SPP1,a
COL6A2,LAMA5,a
COL6A2,LAMB1,a
COL6A2,CHAD,a
COL6A2,COMP,a
COL6A2,TNC,a
COL6A2,LAMC3,a
COL6A2,LAMB2,a
COL6A2,LAMA3,a
COL6A2,COL4A2,a
COL6A2,COL1A2,a
COL6A2,COL5A3,a
COL6A2,LAMA4,a
COL6A2,COL2A1,a
COL6A2,LAMB3,a
COL6A2,COL5A2,a
COL6A2,COL4A6,a
COL6A2,THBS2,a
COL6A2,LAMC1,a
COL6A2,FN1,a
COL6A2,LAMC2,a
COL6A2,TNN,a
COL6A2,TNXB,a
COL6A2,VWF,a
COL6A2,COL4A1,a
COMP,LAMA1,a
COMP,COL1A1,a
COMP,VTN,a
COMP,THBS3,a
COMP,COL4A4,a
COMP,THBS1,a
COMP,THBS4,a
COMP,LAMA2,a
COMP,TNR,a
COMP,RELN,a
COMP,IBSP,a
COMP,SPP1,a
COMP,COL6A2,a
COMP,LAMA5,a
COMP,LAMB1,a
COMP,CHAD,a
COMP,TNC,a
COMP,LAMC3,a
COMP,LAMB2,a
COMP,LAMA3,a
COMP,COL4A2,a
COMP,COL1A2,a
COMP,COL5A3,a
COMP,LAMA4,a
COMP,COL2A1,a
COMP,LAMB3,a
COMP,COL5A2,a
COMP,COL4A6,a
COMP,THBS2,a
COMP,LAMC1,a
COMP,FN1,a
COMP,LAMC2,a
COMP,TNN,a
COMP,TNXB,a
COMP,VWF,a
COMP,COL4A1,a
CRK,DOCK1,a
CRK,RAPGEF1,a
CRK,CRKL,a
CRKL,DOCK1,a
CRKL,RAPGEF1,a
CRKL,CRK,a
DIAPH1,ACTB,a
DIAPH1,ACTG1,a
DIAPH1,Stress Fiber-FA formation,a
DOCK1,RAC1,a
DOCK1,RAC3,a
DOCK1,RAC2,a
EGF,PDGFRA,a
EGF,FGR,a
EGF,TNK2,a
EGF,MET,a
EGF,KDR,a
EGF,FLT1,a
EGF,ERBB2,a
EGF,TXK,a
EGF,TESK2,a
EGF,SRMS,a
EGF,PDGFRB,a
EGF,TNK1,a
EGF,HCK,a
EGF,BLK,a
EGF,IGF1R,a
EGF,STYK1,a
EGF,EGFR,a
EGF,PTK6,a
EGF,HGF,a
EGF,PDGFD,a
EGF,VEGF,a
EGF,FIGF,a
EGF,VEGFB,a
EGF,IGF1,a
EGF,PGF,a
EGF,PDGFA,a
EGF,PDGFC,a
EGF,VEGFC,a
EGF,PDGFB,a
EGFR,SHC3,a
EGFR,SHC1,a
EGFR,SHC2,a
EGFR,SHC4,a
EGFR,PTK2,a
EGFR,PDGFRA,a
EGFR,FGR,a
EGFR,TNK2,a
EGFR,MET,a
EGFR,KDR,a
EGFR,FLT1,a
EGFR,ERBB2,a
EGFR,TXK,a
EGFR,TESK2,a
EGFR,SRMS,a
EGFR,PDGFRB,a
EGFR,TNK1,a
EGFR,HCK,a
EGFR,BLK,a
EGFR,IGF1R,a
EGFR,STYK1,a
EGFR,PTK6,a
ELK1,XIAP,a
ELK1,BIRC3,a
ELK1,BIRC2,a
ELK1,CCND2,a
ELK1,CCND1,a
ELK1,CCND3,a
ERBB2,SHC3,a
ERBB2,SHC1,a
ERBB2,SHC2,a
ERBB2,SHC4,a
ERBB2,PTK2,a
ERBB2,PDGFRA,a
ERBB2,FGR,a
ERBB2,TNK2,a
ERBB2,MET,a
ERBB2,KDR,a
ERBB2,FLT1,a
ERBB2,TXK,a
ERBB2,TESK2,a
ERBB2,SRMS,a
ERBB2,PDGFRB,a
ERBB2,TNK1,a
ERBB2,HCK,a
ERBB2,BLK,a
ERBB2,IGF1R,a
ERBB2,STYK1,a
ERBB2,EGFR,a
ERBB2,PTK6,a
FGR,SHC3,a
FGR,SHC1,a
FGR,SHC2,a
FGR,SHC4,a
FGR,PTK2,a
FGR,PDGFRA,a
FGR,TNK2,a
FGR,MET,a
FGR,KDR,a
FGR,FLT1,a
FGR,ERBB2,a
FGR,TXK,a
FGR,TESK2,a
FGR,SRMS,a
FGR,PDGFRB,a
FGR,TNK1,a
FGR,HCK,a
FGR,BLK,a
FGR,IGF1R,a
FGR,STYK1,a
FGR,EGFR,a
FGR,PTK6,a
FIGF,PDGFRA,a
FIGF,FGR,a
FIGF,TNK2,a
FIGF,MET,a
FIGF,KDR,a
FIGF,FLT1,a
FIGF,ERBB2,a
FIGF,TXK,a
FIGF,TESK2,a
FIGF,SRMS,a
FIGF,PDGFRB,a
FIGF,TNK1,a
FIGF,HCK,a
FIGF,BLK,a
FIGF,IGF1R,a
FIGF,STYK1,a
FIGF,EGFR,a
FIGF,PTK6,a
FIGF,HGF,a
FIGF,PDGFD,a
FIGF,VEGF,a
FIGF,EGF,a
FIGF,VEGFB,a
FIGF,IGF1,a
FIGF,PGF,a
FIGF,PDGFA,a
FIGF,PDGFC,a
FIGF,VEGFC,a
FIGF,PDGFB,a
FLNA,PXN,a
FLNA,ACTN4,a
FLNA,TLN1,a
FLNA,ACTN1,a
FLNA,FLNB,a
FLNA,FLNC,a
FLNA,TLN2,a
FLNB,FLNA,a
FLNB,PXN,a
FLNB,ACTN4,a
FLNB,TLN1,a
FLNB,ACTN1,a
FLNB,FLNC,a
FLNB,TLN2,a
FLNC,FLNA,a
FLNC,PXN,a
FLNC,ACTN4,a
FLNC,TLN1,a
FLNC,ACTN1,a
FLNC,FLNB,a
FLNC,TLN2,a
FLT1,SHC3,a
FLT1,SHC1,a
FLT1,SHC2,a
FLT1,SHC4,a
FLT1,PTK2,a
FLT1,PDGFRA,a
FLT1,FGR,a
FLT1,TNK2,a
FLT1,MET,a
FLT1,KDR,a
FLT1,ERBB2,a
FLT1,TXK,a
FLT1,TESK2,a
FLT1,SRMS,a
FLT1,PDGFRB,a
FLT1,TNK1,a
FLT1,HCK,a
FLT1,BLK,a
FLT1,IGF1R,a
FLT1,STYK1,a
FLT1,EGFR,a
FLT1,PTK6,a
FN1,LAMA1,a
FN1,COL1A1,a
FN1,VTN,a
FN1,THBS3,a
FN1,COL4A4,a
FN1,THBS1,a
FN1,THBS4,a
FN1,LAMA2,a
FN1,TNR,a
FN1,RELN,a
FN1,IBSP,a
FN1,SPP1,a
FN1,COL6A2,a
FN1,LAMA5,a
FN1,LAMB1,a
FN1,CHAD,a
FN1,COMP,a
FN1,TNC,a
FN1,LAMC3,a
FN1,LAMB2,a
FN1,LAMA3,a
FN1,COL4A2,a
FN1,COL1A2,a
FN1,COL5A3,a
FN1,LAMA4,a
FN1,COL2A1,a
FN1,LAMB3,a
FN1,COL5A2,a
FN1,COL4A6,a
FN1,THBS2,a
FN1,LAMC1,a
FN1,LAMC2,a
FN1,TNN,a
FN1,TNXB,a
FN1,VWF,a
FN1,COL4A1,a
FYN,SHC3,a
FYN,SHC1,a
FYN,SHC2,a
FYN,SHC4,a
GRB2,SOS1,a
GSK3B,Catnb,i
HCK,SHC3,a
HCK,SHC1,a
HCK,SHC2,a
HCK,SHC4,a
HCK,PTK2,a
HCK,PDGFRA,a
HCK,FGR,a
HCK,TNK2,a
HCK,MET,a
HCK,KDR,a
HCK,FLT1,a
HCK,ERBB2,a
HCK,TXK,a
HCK,TESK2,a
HCK,SRMS,a
HCK,PDGFRB,a
HCK,TNK1,a
HCK,BLK,a
HCK,IGF1R,a
HCK,STYK1,a
HCK,EGFR,a
HCK,PTK6,a
HGF,PDGFRA,a
HGF,FGR,a
HGF,TNK2,a
HGF,MET,a
HGF,KDR,a
HGF,FLT1,a
HGF,ERBB2,a
HGF,TXK,a
HGF,TESK2,a
HGF,SRMS,a
HGF,PDGFRB,a
HGF,TNK1,a
HGF,HCK,a
HGF,BLK,a
HGF,IGF1R,a
HGF,STYK1,a
HGF,EGFR,a
HGF,PTK6,a
HGF,PDGFD,a
HGF,VEGF,a
HGF,FIGF,a
HGF,EGF,a
HGF,VEGFB,a
HGF,IGF1,a
HGF,PGF,a
HGF,PDGFA,a
HGF,PDGFC,a
HGF,VEGFC,a
HGF,PDGFB,a
HRAS,RAF1,a
IBSP,LAMA1,a
IBSP,COL1A1,a
IBSP,VTN,a
IBSP,THBS3,a
IBSP,COL4A4,a
IBSP,THBS1,a
IBSP,THBS4,a
IBSP,LAMA2,a
IBSP,TNR,a
IBSP,RELN,a
IBSP,SPP1,a
IBSP,COL6A2,a
IBSP,LAMA5,a
IBSP,LAMB1,a
IBSP,CHAD,a
IBSP,COMP,a
IBSP,TNC,a
IBSP,LAMC3,a
IBSP,LAMB2,a
IBSP,LAMA3,a
IBSP,COL4A2,a
IBSP,COL1A2,a
IBSP,COL5A3,a
IBSP,LAMA4,a
IBSP,COL2A1,a
IBSP,LAMB3,a
IBSP,COL5A2,a
IBSP,COL4A6,a
IBSP,THBS2,a
IBSP,LAMC1,a
IBSP,FN1,a
IBSP,LAMC2,a
IBSP,TNN,a
IBSP,TNXB,a
IBSP,VWF,a
IBSP,COL4A1,a
IGF1,PDGFRA,a
IGF1,FGR,a
IGF1,TNK2,a
IGF1,MET,a
IGF1,KDR,a
IGF1,FLT1,a
IGF1,ERBB2,a
IGF1,TXK,a
IGF1,TESK2,a
IGF1,SRMS,a
IGF1,PDGFRB,a
IGF1,TNK1,a
IGF1,HCK,a
IGF1,BLK,a
IGF1,IGF1R,a
IGF1,STYK1,a
IGF1,EGFR,a
IGF1,PTK6,a
IGF1,HGF,a
IGF1,PDGFD,a
IGF1,VEGF,a
IGF1,FIGF,a
IGF1,EGF,a
IGF1,VEGFB,a
IGF1,PGF,a
IGF1,PDGFA,a
IGF1,PDGFC,a
IGF1,VEGFC,a
IGF1,PDGFB,a
IGF1R,SHC3,a
IGF1R,SHC1,a
IGF1R,SHC2,a
IGF1R,SHC4,a
IGF1R,PTK2,a
IGF1R,PDGFRA,a
IGF1R,FGR,a
IGF1R,TNK2,a
IGF1R,MET,a
IGF1R,KDR,a
IGF1R,FLT1,a
IGF1R,ERBB2,a
IGF1R,TXK,a
IGF1R,TESK2,a
IGF1R,SRMS,a
IGF1R,PDGFRB,a
IGF1R,TNK1,a
IGF1R,HCK,a
IGF1R,BLK,a
IGF1R,STYK1,a
IGF1R,EGFR,a
IGF1R,PTK6,a
ILK,PARVB,u
ILK,VCL,u
ILK,PARVA,u
ILK,PARVG,u
ILK,AKT2,a
ILK,AKT1,a
ILK,AKT3,a
ILK,PXN,u
ITGA1,ITGA10,a
ITGA1,ITGA6,a
ITGA1,ITGA2,a
ITGA1,ITGA5,a
ITGA1,ITGAV,a
ITGA1,ITGA4,a
ITGA1,ITGA2B,a
ITGA1,ITGA9,a
ITGA1,ITGA8,a
ITGA1,ITGA3,a
ITGA1,ITGA7,a
ITGA1,ITGA11,a
ITGA10,ITGA6,a
ITGA10,ITGA2,a
ITGA10,ITGA5,a
ITGA10,ITGAV,a
ITGA10,ITGA4,a
ITGA10,ITGA2B,a
ITGA10,ITGA9,a
ITGA10,ITGA8,a
ITGA10,ITGA3,a
ITGA10,ITGA1,a
ITGA10,ITGA7,a
ITGA10,ITGA11,a
ITGA11,ITGA10,a
ITGA11,ITGA6,a
ITGA11,ITGA2,a
ITGA11,ITGA5,a
ITGA11,ITGAV,a
ITGA11,ITGA4,a
ITGA11,ITGA2B,a
ITGA11,ITGA9,a
ITGA11,ITGA8,a
ITGA11,ITGA3,a
ITGA11,ITGA1,a
ITGA11,ITGA7,a
ITGA2,ITGA10,a
ITGA2,ITGA6,a
ITGA2,ITGA5,a
ITGA2,ITGAV,a
ITGA2,ITGA4,a
ITGA2,ITGA2B,a
ITGA2,ITGA9,a
ITGA2,ITGA8,a
ITGA2,ITGA3,a
ITGA2,ITGA1,a
ITGA2,ITGA7,a
ITGA2,ITGA11,a
ITGA2B,ITGA10,a
ITGA2B,ITGA6,a
ITGA2B,ITGA2,a
ITGA2B,ITGA5,a
ITGA2B,ITGAV,a
ITGA2B,ITGA4,a
ITGA2B,ITGA9,a
ITGA2B,ITGA8,a
ITGA2B,ITGA3,a
ITGA2B,ITGA1,a
ITGA2B,ITGA7,a
ITGA2B,ITGA11,a
ITGA3,ITGA10,a
ITGA3,ITGA6,a
ITGA3,ITGA2,a
ITGA3,ITGA5,a
ITGA3,ITGAV,a
ITGA3,ITGA4,a
ITGA3,ITGA2B,a
ITGA3,ITGA9,a
ITGA3,ITGA8,a
ITGA3,ITGA1,a
ITGA3,ITGA7,a
ITGA3,ITGA11,a
ITGA4,ITGA10,a
ITGA4,ITGA6,a
ITGA4,ITGA2,a
ITGA4,ITGA5,a
ITGA4,ITGAV,a
ITGA4,ITGA2B,a
ITGA4,ITGA9,a
ITGA4,ITGA8,a
ITGA4,ITGA3,a
ITGA4,ITGA1,a
ITGA4,ITGA7,a
ITGA4,ITGA11,a
ITGA5,ITGA10,a
ITGA5,ITGA6,a
ITGA5,ITGA2,a
ITGA5,ITGAV,a
ITGA5,ITGA4,a
ITGA5,ITGA2B,a
ITGA5,ITGA9,a
ITGA5,ITGA8,a
ITGA5,ITGA3,a
ITGA5,ITGA1,a
ITGA5,ITGA7,a
ITGA5,ITGA11,a
ITGA6,ITGA10,a
ITGA6,ITGA2,a
ITGA6,ITGA5,a
ITGA6,ITGAV,a
ITGA6,ITGA4,a
ITGA6,ITGA2B,a
ITGA6,ITGA9,a
ITGA6,ITGA8,a
ITGA6,ITGA3,a
ITGA6,ITGA1,a
ITGA6,ITGA7,a
ITGA6,ITGA11,a
ITGA7,ITGA10,a
ITGA7,ITGA6,a
ITGA7,ITGA2,a
ITGA7,ITGA5,a
ITGA7,ITGAV,a
ITGA7,ITGA4,a
ITGA7,ITGA2B,a
ITGA7,ITGA9,a
ITGA7,ITGA8,a
ITGA7,ITGA3,a
ITGA7,ITGA1,a
ITGA7,ITGA11,a
ITGA8,ITGA10,a
ITGA8,ITGA6,a
ITGA8,ITGA2,a
ITGA8,ITGA5,a
ITGA8,ITGAV,a
ITGA8,ITGA4,a
ITGA8,ITGA2B,a
ITGA8,ITGA9,a
ITGA8,ITGA3,a
ITGA8,ITGA1,a
ITGA8,ITGA7,a
ITGA8,ITGA11,a
ITGA9,ITGA10,a
ITGA9,ITGA6,a
ITGA9,ITGA2,a
ITGA9,ITGA5,a
ITGA9,ITGAV,a
ITGA9,ITGA4,a
ITGA9,ITGA2B,a
ITGA9,ITGA8,a
ITGA9,ITGA3,a
ITGA9,ITGA1,a
ITGA9,ITGA7,a
ITGA9,ITGA11,a
ITGAV,ITGA10,a
ITGAV,ITGA6,a
ITGAV,ITGA2,a
ITGAV,ITGA5,a
ITGAV,ITGA4,a
ITGAV,ITGA2B,a
ITGAV,ITGA9,a
ITGAV,ITGA8,a
ITGAV,ITGA3,a
ITGAV,ITGA1,a
ITGAV,ITGA7,a
ITGAV,ITGA11,a
ITGB1,ITGB6,a
ITGB1,ITGB8,a
ITGB1,ITGB7,a
ITGB1,ITGB5,a
ITGB1,ITGB4,a
ITGB1,ITGB3,a
ITGB3,ITGB6,a
ITGB3,ITGB8,a
ITGB3,ITGB1,a
ITGB3,ITGB7,a
ITGB3,ITGB5,a
ITGB3,ITGB4,a
ITGB4,ITGB6,a
ITGB4,ITGB8,a
ITGB4,ITGB1,a
ITGB4,ITGB7,a
ITGB4,ITGB5,a
ITGB4,ITGB3,a
ITGB5,ITGB6,a
ITGB5,ITGB8,a
ITGB5,ITGB1,a
ITGB5,ITGB7,a
ITGB5,ITGB4,a
ITGB5,ITGB3,a
