Source,Target,signal
CD79A,SHC1,a
CD79A,GRB2,a
CD79A,SOS1,a
SYK,SHC1,a
SYK,GRB2,a
SYK,SOS1,a
BLNK,SHC1,a
BLNK,GRB2,a
BLNK,SOS1,a
SHC1,VAV1,a
GRB2,VAV1,a
SOS1,VAV1,a
SHC1,LAT2,a
GRB2,LAT2,a
SOS1,LAT2,a
SHC1,HRAS,a
GRB2,HRAS,a
SOS1,HRAS,a
CD79A,BLK,a
CD79A,FYN,a
FYN,SH3BP2,a
SYK,SH3BP2,a
CD79B,LCK,a
LCK,SYK,a
SYK,SYK,a
SYK,HCLS1,a
SYK,BLNK,a
SYK,BTK,a
SYK ,CBL,a
SYK,VAV1,a
SYK,CD79B,a
SYK,GAB2,a
LYN,SYK,a
LYN,CD79B,a
LYN,HCLS1,a
LYN,CD19,a
LYN,LYN,a
LYN,TEC,a
LYN,BTK,a
LYN,CBL,a
CR2,CD19,a
CD19,CD81,a
CD19,VAV1,a
CD19,PIK3R1,a
CD19,PLCG2,a
CD19,GRB2,a
CD22,GRB2,a
CD22,PTPN6,a
CD22,SHC1,a
CD22,INPP5D,a
CD45,CD45,a
PTPN18,TEC,a
TEC,TEC,a
TEC,PTPN18,a
TEC,PLCG1,a
TEC,PLCG2,a
SH3BP2,VAV1,a
BTK,BTK,a
BTK,GTF2I,a
BTK,PIP5K1A,a
BTK,PIP5K1B,a
BTK,PIP5K1C,a
BTK,PLCG1,a
BTK,PLCG2,a
BTK,PRKCB1,a
BTK,PIK3AP1,a
BTK,BLNK,a
DAG,RASGRP3,a
RASGRP3,HRAS,a
VAV2,CRK,a
BLNK,VAV2,a
BLNK,NCK1,a
BLNK,MAP4K1,a
BLNK,PLCG1,a
BLNK,PLCG2,a
PTPN6,BLNK,a
PIP5K1A,"PI-4,5-P2",a
PIP5K1B,"PI-4,5-P2",a
PIP5K1C,"PI-4,5-P2",a
"PI-4,5-P2",DAG,a
"PI-4,5-P2",IP3,a
IP3,Ca2+,a
DAG,PRKCB1,a
CBL,PIK3R1,a
CBL,CRK,a
CBL,CRKL,a
CBL,PIK3R2,a
CBL,PIK3CG,a
VAV1,RAC1,a
VAV2,RAC1,a
RAC1,CDC42,a
RAC2,CDC42,a
CDC42,MAP2K6,a
MAP2K6,MAPK14,a
MAP2K6,MAPK8,a
MAPK8,JUN,a
MAPK9,JUN,a
MAPK8,ATF2,a
MAPK9,ATF2,a
MAPK14,ATF2,a
MAPK14,MAX,a
CRKL,BCAR1,a
CRKL,RAPGEF1,a
CRK,BCAR1,a
CRK,RAPGEF1,a
RAPGEF1,BRAF,a
HRAS,BRAF,a
BRAF,MAP2K1,a
RAF1,MAP2K1,a
MAP2K1,MAPK1,a
MAP2K2,MAPK1,a
MAPK1,MYC,a
MAPK3,MYC,a
MAPK1,ELK1,a
MAPK3,ELK1,a
MAPK1,BCL6,a
MAPK3,BCL6,a
ELK1,MYC,a
ELK1,ILF2,a
SHC1,PTPN11,a
GRB2,PTPN11,a
SOS1,PTPN11,a
PTPN11,GAB2,a
PTPN11,GAB1,a
LAT2,GAB1,a
LAT2,VAV2,a
GAB1,MAPK4,a
GAB1,PIK3R1,a
GAB1,PIK3R2,a
GAB1,PIK3CG,a
GAB2,PIK3R1,a
GAB2,PIK3R2,a
GAB2,PIK3CG,a
PIK3AP1,PIK3R1,a
PIK3AP1,PIK3R2,a
PIK3AP1,PIK3CG,a
PIK3R1,PDPK1,a
PIK3R2,PDPK1,a
PIK3CG,PDPK1,a
PIK3R1,PDPK2,a
PIK3R2,PDPK2,a
PIK3CG,PDPK2,a
PDPK1,AKT1,a
PDPK2,AKT1,a
AKT1,GSK3A,a
AKT1,FOXO1,a
AKT1,GSK3B,a
MAP4K1,DAPP1,a
PRKCB1,IKBKB,a
PRKCB1,CHUK,a
IKBKB,NFKBIA,a
CHUK,NFKBIA,a
IKBKG,NFKBIA,a
NFKBIA,NFKB1,a
NFKB1,E2F3,a
RELA,E2F3,a
REL,E2F3,a
PLCG1,DAG,a
PLCG2,DAG,a
PLCG1,IP3,a
PLCG2,IP3,a
PRKCB1,CARD11,a
CARD11,MAP3K7,a
BCL10,MAP3K7,a
MALT1,MAP3K7,a
MAP3K7,CHUK,a
Calmodulin,Calcineurin,a
Ca2+,Calcineurin,a
Ca2+, Calmodulin,a
Calmodulin, Ca2+,a
Calcineurin,NFATC2,a
Calcineurin,NFATC3,a
Calmodulin,CAMK2A,a
Ca2+,CAMK2A,a
CAMK2A,ETS1,a
NFATC2,IRF4,a
NFATC3,IRF4,a
NFATC2,NFATC2,a
NFATC3,NFATC3,a
PRKCD,RPS6KA1,a
RPS6KA1,CREB1,a
CREB1,MEF2C,a
CREB1,MEF2D,a
MALT1,BCL10,a
PIK3CG,PIK3R2,a
NFKB1,RELA,a
NFKBIA,NFKBIA,u
RAF1,BRAF,a
PLCG1,PLCG2,a
SYK,CBL,a
IKBKB,IKBKG,a
NFKB1,REL,a
CHUK,IKBKB,a
RELA,RELA,a
PIK3R1,PIK3R2,a
GRB2,SHC1,a
PIP5K1A,PIP5K1C,a
VAV1,VAV2,a
PIP5K1B,PIP5K1A,a
MAP2K2,MAP2K1,a
PIK3R2,PIK3R1,a
NFATC3,NFATC2,a
NFKB1,NFKB1,None
MAPK9,MAPK8,a
MAPK14,MAPK14,a
PIK3R1,PIK3CG,a
MAPK3,MAPK1,a
NFATC3,NFATC3,None
REL,REL,a
VAV2,VAV1,a
MAPK8,MAPK9,a
SOS1,GRB2,a
BRAF,RAF1,a
CHUK,IKBKG,a
SHC1,GRB2,a
