Source,Target,signal
BCL10,MALT1,a
IKBKG,IKBKB,a
PIP5K1A,PIP5K1B,a
RELA,NFKB1,a
PIK3R2,PIK3CG,a
RAC2,RAC1,a
PLCG2,PLCG1,a
MAP2K1,MAP2K2,a
NFATC2,NFATC2,None
IKBKB,CHUK,a
CARD11,MALT1,a
MAPK1,MAPK3,a
PIP5K1B,PIP5K1C,a
PIP5K1C,PIP5K1A,a
PIP5K1C,PIP5K1B,a
PIK3CG,PIK3R1,a
RELA,REL,a
BCL10,CARD11,a
PDPK1,PDPK2,a
REL,NFKB1,a
SHC1,SOS1,a
MALT1,CARD11,a
RPS6KA1,RPS6KA1,a
IKBKG,CHUK,a
CARD11,BCL10,a
RAC1,RAC2,a
CAMK2A,CAMK2A,a
PDPK2,PDPK1,a
NFATC2,NFATC3,a
