Source,Target,signal
ATF2,JUN,a
Ca 2+,MAP2K2,a
CHUK,NFKBIA,a
CHUK,NFKBIB,a
CHUK,RELA,a
CHUK,IKBKG,a
CHUK,IKBKB,a
ECSIT,MAP3K1,a
IKBKB,NFKBIA,a
IKBKB,NFKBIB,a
IKBKB,RELA,a
IKBKB,CHUK,a
IKBKB,IKBKG,a
IKBKG,NFKBIA,a
IKBKG,NFKBIB,a
IKBKG,RELA,a
IKBKG,IKBKG,a
IKBKG,CHUK,a
IKBKG,IKBKB,a
IKBKG,CHUK,a
IL1A,IL1R1,a
IL1A,IL1RAP,a
IL1A,IRAK1,a
IL1A,TOLLIP,a
IL1A,IRAK2,a
IL1A,PTPN11,a
IL1A,PIK3R1,a
IL1A,IL1B,a
IL1B,IL1R1,a
IL1B,IL1RAP,a
IL1B,PIK3R1,a
IL1B,PTPN11,a
IL1B,TOLLIP,a
IL1B,IRAK1,a
IL1B,MYD88,a
IL1B,IRAK2,a
IL1B,IL1A,a
IL1R1,IRAK1,a
IL1R1,IRAK2,g
IL1R1,MYD88,a
IL1R1,PIK3R1,a
IL1R1,PTPN11,a
IL1R1,TOLLIP,a
IL1R1,IL1A,a
IL1R1,IL1RAP,a
IL1R1,IL1B,a
IL1R1,IRAK2,a
IL1R1,IL1R1,a
IL1RAP,IRAK1,a
IL1RAP,IRAK2,a
IL1RAP,MYD88,a
IL1RAP,PIK3R1,a
IL1RAP,PTPN11,a
IL1RAP,TOLLIP,a
IL1RAP,IL1R1,a
IL1RAP,IL1B,a
IL1RAP,IL1A,a
IL1RAP,IL1RAP,a
IRAK1,IRAK2,a
IRAK1,IRAK3,a
IRAK1,PELI1,a
IRAK1,PELI2,a
IRAK1,TOLLIP,a
IRAK1,TRAF6,a
IRAK1,IRAK1,a
IRAK2,TRAF6,a
IRAK2,IRAK2,a
IRAK4,IRAK1,a
IRAK4,PELI1,a
IRAK4,TRAF6,a
MAP2K1,MAPK1,a
MAP2K1,MAPK3,a
MAP2K1,MAP2K2,a
MAP2K2,MAPK1,a
MAP2K2,MAPK3,a
MAP2K2,MAP2K1,a
MAP2K3,MAPK14,a
MAP2K4,MAPK14,a
MAP2K4,MAPK8,a
MAP2K6,MAPK14,a
MAP2K7,MAPK8,a
MAP3K1,MAP2K4,a
MAP3K1,MAP2K7,a
MAP3K14,CHUK,a
MAP3K2,MAP2K4,a
MAP3K2,MAP2K7,a
MAP3K3,IKBKG,a
MAP3K3,MAP2K3,a
MAP3K3,MAP2K6,a
MAP3K3,MAP2K7,a
MAP3K7,MAP2K3,a
MAP3K7,MAP2K4,a
MAP3K7,MAP2K6,a
MAP3K7,MAP3K14,a
MAP3K7,MAP3K3,a
MAP3K7,TAB2,a
MAP3K7,TAB1,a
MAP3K7,TAB3,a
MAP3K7,MAP3K7,a
MAPK1,MAPK3,a
MAPK14,ATF2,a
MAPK14,MAPKAPK2,a
MAPK14,MAPK14,a
MAPK3,MAPK1,a
MAPK8,JUN,a
MAPK8,MAPK9,a
MAPK9,JUN,a
MAPK9,MAPK8,a
MAPKAPK2,HSPB2,a
MYD88,IRAK1,a
MYD88,IRAK2,a
MYD88,IRAK4,a
MYD88,MYD88,a
NFKB1,CCL2,a
NFKB1,RELA,a
NFKB1,NFKB1,a
NFKB1,REL,a
NFKBIA,NFKB1,a
NFKBIA,REL,a
NFKBIA,NFKB1,u
NFKBIA,NFKBIB,a
NFKBIB,NFKB1,a
NFKBIB,REL,a
NFKBIB,NFKBIA,a
PIK3R1,AKT1,a
PIK3R1,PIK3R2,a
PIK3R2,AKT1,a
PIK3R2,PIK3R1,a
PLCG1,Ca 2+,a
PTPN11,PLCG1,a
REL,CCL2,a
REL,REL,a
REL,NFKB1,a
REL,RELA,a
RELA,CCL2,a
RELA,REL,a
RELA,RELA,a
RELA,NFKB1,a
TAB1,MAP3K14,a
TAB1,TAB3,a
TAB1,TAB2,a
TAB1,MAP3K7,a
TAB2,MAP3K14,a
TAB2,MAP3K7,a
TAB2,TAB3,a
TAB2,TAB1,a
TAB3,MAP3K14,a
TAB3,TAB1,a
TAB3,TAB2,a
TAB3,MAP3K7,a
TOLLIP,TOLLIP,a
TRAF6,ECSIT,a
TRAF6,MAP3K3,a
TRAF6,MAP3K7,a
TRAF6,PRKCZ,a
TRAF6,SQSTM1,a
TRAF6,TAB2,a
TRAF6,TAB3,a
UBE2N,TRAF6,a
UBE2N,UBE2V1,a
UBE2V1,TRAF6,a
UBE2V1,UBE2N,a
IL1A,MYD88,a
IL1A,IL1A,u
IL1B,IL1B,u
