Source,Target,signal
REL,IL6,a
NFKB1,IL6,a
NFKB2,IL6,a
RELA,IL6,a
Cytochrome C,APAF1,a
MAPK8,APOPTOSIS,a
MAPK9,APOPTOSIS,a
CASP8,APOPTOSIS,a
CASP7,APOPTOSIS,a
PLA2,Arachidonic acid,a
BCL2L1,BAX,i
BID,BAX,a
RELA,BCL2L1,a
REL,BCL2L1,a
NFKB2,BCL2L1,a
NFKB1,BCL2L1,a
BAD,BCL2L1,i
CASP8,BID,a
TRAF2,BIRC2,a
RELA,BIRC2,a
REL,BIRC2,a
NFKB2,BIRC2,a
NFKB1,BIRC2,a
RELA,BIRC3,a
DIABLO,BIRC3,a
REL,BIRC3,a
NFKB2,BIRC3,a
NFKB1,BIRC3,a
RIPK3,Ca2+,a
Procaspase 3/7,CASP3,a
TRAF2,CASP8,a
FADD,CASP8,a
TRADD,CASP8,a
RIPK1,CASP8,a
Pro-CASP8,CASP8,a
APAF1,CASP9,a
JUN,CCL2,a
CHUK,CDC37,a
IKBKB,CDC37,a
IKBKG,CDC37,a
SMPD2,Ceramide,a
MAP3K14,CHUK,a
AKT1,CHUK,a
RFK,CYBA,a
CFLAR,FADD,i
RIPK3,GLUL,a
TNFRSF1B,GRB2,a
TNFRSF1A,GRB2,a
GRB2,HRAS,a
SOS1,HRAS,a
CHUK,HSP90AA1,a
IKBKB,HSP90AA1,a
IKBKG,HSP90AA1,a
Arachidonic acid,Hydroperoxides,a
MAP3K1,IKBKB,a
MAP3K3,IKBKB,a
RIPK1,IKBKG,a
TANK,IKBKG,a
TNFAIP3,IKBKG,a
PLK1,IKBKG,a
TANK,IKBKG,a
REL,IL6,a
RELA,IL6,a
NFKB2,IL6,a
NFKB1,IL6,a
MAPK9,JUN,a
MAPK8,JUN,a
GRB2,KRAS,a
SOS1,KRAS,a
Ceramide,KRS2,a
Ceramide,KSR1,a
TNFRSF1B,MADD,a
TNFRSF1A,MADD,a
RIPK1,MAP2K3,a
MAP3K5,MAP2K4,a
RAF1,MAP2K6,a
MAP3K5,MAP2K7,a
MAP4K2,MAP3K1,a
RIPK1,MAP3K1,a
TRAF2,MAP3K1,a
MAP3K7,MAP3K14,a
CASP8,MAP3K14,a
TAB1,MAP3K14,a
TAB2,MAP3K14,a
TAB3,MAP3K14,a
RIPK1,MAP3K3,a
ROS,MAP3K5,a
TXN,MAP3K5,a
TRAF2,MAP3K7,a
TRAF2,MAP4K2,a
CASP8,RIPK1,a
MAP2K3,MAPK1,a
MAP2K3,MAPK3,a
MAP2K4,MAPK8,a
MAP2K7,MAPK8,a
RIPK3,Necrosis,a
ROS,Necrosis,a
Hydroperoxides,Necrosis,a
CHUK,NFKB1,a
IKBKB,NFKB1,a
IKBKG,NFKB1,a
MAP3K8,NFKB1,a
CHUK,NFKBIA,a
CUL1,NFKBIA,a
IKBKB,NFKBIA,a
BTRC,NFKBIA,a
IKBKG,NFKBIA,a
SKP1,NFKBIA,a
FBXW11,NFKBIA,a
CHUK,NFKBIB,a
CUL1,NFKBIB,a
BTRC,NFKBIB,a
IKBKB,NFKBIB,a
IKBKG,NFKBIB,a
SKP1,NFKBIB,a
FBXW11,NFKBIB,a
RFK,NOX1,a
RFK,NOXO1,a
GRB2,NRAS,a
SOS1,NRAS,a
TNFRSF1B,NSMAF,a
TNFRSF1A,NSMAF,a
TNFRSF1B,OTUD7B,a
TNFRSF1A,OTUD7B,a
Ca2+,PLA2,a
CASP8,Procaspase 3/7,a
CASP9,Procaspase 3/7,a
TNFRSF1B,PSMD2,a
TNFRSF1A,PSMD2,a
RIPK3,PYGL,a
RFK,RAC1,a
KRAS,RAF1,a
NRAS,RAF1,a
HRAS,RAF1,a
KSR1,RAF1,a
KSR2,RAF1,a
MAP3K8,REL,a
CHUK,RELA,a
NFKBIA,RELA,a
IKBKB,RELA,a
NFKBIB,RELA,a
PRKCZ,RELA,a
CREBBP,RELA,a
IKBKG,RELA,a
NFKBIE,RELA,a
PPP2CA,RELA,a
CSNK2A1,RELA,a
TNFRSF1B,RFK,a
TNFRSF1A,RFK,a
TRADD,RIPK1,a
TRAF2,RIPK1,a
DIABLO,RIPK1,a
OTUD7B,RIPK1,a
RIPK3,RIPK1,a
RFFL,RIPK1,a
TRAF2,ROS,a
GLUL,ROS,a
PYGL,ROS,a
JUN,SELE,a
NSMAF,SMPD2,a
TBK1,TANK,a
TRAF2,TBK1,a
TRAF1,TNFAIP3,a
TNF,TNFRSF1A,a
TNF,TNFRSF1B,a
TNFRSF1B,TRADD,a
TNFRSF1A,TRADD,a
TNFRSF1B,TRAF2,a
TNFRSF1A,TRAF2,a
TRADD,TRAF2,a
MAP3K5,TRAF2,a
BIRC2,TRAF2,a
BIRC3,TRAF2,a
TNFRSF1B,TRAP1,a
TNFRSF1A,TRAP1,a
BCL2L1,BID,i
BIRC2,BIRC3,a
BIRC3,BIRC2,a
BTRC,CUL1,a
BTRC,FBXW11,a
BTRC,SKP1,a
CASP3,CASP7,a
CASP7,CASP3,a
CFLAR,TRADD,a
CHUK,IKBKB,a
CHUK,IKBKG,a
CSNK2A1,PRKCZ,u
CUL1,FBXW11,a
CUL1,HSP90AA1,a
CUL1,BTRC,a
CUL1,SKP1,a
FADD,TRADD,a
FADD,TRAF2,a
FADD,RIPK1,a
FADD,Pro-CASP8,a
FBXW11,CUL1,a
FBXW11,BTRC,a
FBXW11,SKP1,a
GRB2,GRB2,a
GRB2,SOS1,a
HRAS,NRAS,a
HRAS,KRAS,a
HSP90AA1,CUL1,a
IKBKB,IKBKB,a
IKBKB,CHUK,a
IKBKB,IKBKG,a
IKBKG,IKBKB,a
IKBKG,CHUK,a
KRAS,HRAS,a
KRAS,NRAS,a
KSR1,KSR2,a
KSR2,KSR1,a
MAP3K7,TAB2,a
MAP3K7,TAB1,a
MAP3K7,TAB3,a
MAPK1,MAPK3,a
MAPK3,MAPK1,a
MAPK8,MAPK9,a
MAPK8,MAPK8,None
MAPK9,MAPK8,a
MAPK9,MAPK9,None
NFKB1,NFKB1,a
NFKB1,NFKB2,a
NFKB1,REL,a
NFKB2,NFKB1,a
NFKB2,REL,a
NFKB2,NFKB2,a
NFKBIA,NFKBIB,a
NFKBIA,NFKBIE,a
NFKBIB,NFKBIA,a
NFKBIB,NFKBIE,a
NFKBIE,NFKBIA,a
NFKBIE,NFKBIE,u
NFKBIE,NFKBIB,a
NOX1,RAC1,a
NOX1,NOXO1,a
NOXO1,NOX1,a
NOXO1,RAC1,a
NRAS,KRAS,a
NRAS,HRAS,a
PLK1,TANK,a
Pro-CASP8,FADD,a
Pro-CASP8,TRAF2,a
Pro-CASP8,RIPK1,a
Pro-CASP8,TRADD,a
RAC1,NOX1,a
RAC1,NOXO1,a
REL,RELA,a
REL,NFKB1,a
RELA,NFKB1,a
RELA,REL,a
RIPK1,Pro-CASP8,a
RIPK1,FADD,a
RIPK1,TRAF2,a
SKP1,BTRC,a
SKP1,FBXW11,a
SKP1,CUL1,a
SOS1,GRB2,a
TAB1,TAB3,a
TAB1,MAP3K7,a
TAB1,TAB2,a
TAB2,TAB3,a
TAB2,MAP3K7,a
TAB2,TAB1,a
TAB3,TAB1,a
TAB3,MAP3K7,a
TAB3,TAB2,a
TANK,PLK1,a
TNF,TNF,a
TNFRSF1A,TNF,a
TNFRSF1A,TNFRSF1A,a
TNFRSF1B,TNF,a
TNFRSF1B,TNFRSF1B,a
TRADD,FADD,a
TRADD,Pro-CASP8,a
TRAF2,FADD,a
TRAF2,TRADD,a
TRAF2,Pro-CASP8,a
"Cytochrome C","Cytochrome C",a
