Source,Target,signal
PIK3R2,AKT1,a
PIK3R1,AKT1,a
AKT1,BAD,a
MAPK8,BAD,a
BCL2L1,BAD,a
AKT1,BCL2,a
PRKACA,BCL2,a
AKT1,BCL2L1,a
FYN,CBL,a
CRKL,CBL,a
SHC1,CRKL,a
PTPN6,CSF2RB,i
LYN,CSF2RB,a
IL3,CSF2RB,a
MAPK3,FOS,a
MAPK1,FOS,a
IL3RA,FYN,a
CSF2RB,FYN,a
PTPN11,GAB2,i
SHC1,GAB2,a
GRB2,GAB2,a
CSF2RB,HCK,a
IL3RA,HCK,a
SOS1,HRAS,a
IL3,IL3RA,a
SHC1,INPP5D,a
JAK2,JAK1,a
IL3RA,JAK1,a
CSF2RB,JAK1,a
IL3RA,JAK2,a
CSF2RB,JAK2,a
MAPK1,JUN,a
MAPK3,JUN,a
RAF1,MAP2K1,a
MAP2K1,MAPK1,a
VAV1,PIK3R1,a
GAB2,PIK3R1,a
CBL,PIK3R1,a
PIK3CD,PRKACA,a
SOS1,PTPN11,a
GRB2,PTPN11,a
HRAS,RAF1,a
CRKL,RAPGEF1,a
IL3RA,SHC1,a
CSF2RB,SHC1,a
GRB2,SOS1,a
IL3RA,SRC,a
CSF2RB,SRC,a
SRC,STAT3,a
JAK2,STAT5A,a
PTPN11,STAT5A,i
JAK2,STAT5B,a
PTPN11,STAT5B,i
IL3RA,SYK,a
CSF2RB,SYK,a
IL3RA,TEC1,a
CSF2RB,TEC1,a
TEC1,VAV1,a
BAD,YWHAB,a
BAD,YWHAQ,a
BCL2,IL3RA,a
CSF2RB,IL3,a
CSF2RB,CSF2RB,a
CSF2RB,IL3RA,a
IL3,IL3,u
IL3RA,IL3,a
IL3RA,CSF2RB,a
IL3RA,IL3RA,a
MAPK1,MAPK1,None
MAPK1,MAPK3,a
MAPK3,MAPK3,None
MAPK3,MAPK1,a
PIK3CD,PIK3R2,a
PIK3CD,PIK3R1,a
PIK3R1,PIK3R2,a
PIK3R1,PIK3CD,a
PIK3R1,VAV1,u
PIK3R2,PIK3R1,a
PIK3R2,PIK3CD,a
PTPN11,GAB2,a
PTPN11,STAT5A,a
PTPN6,CSF2RB,a
SHC1,GRB2,a
STAT3,STAT3,a
STAT5A,STAT5A,a
STAT5B,STAT5B,a
YWHAB,YWHAQ,a
YWHAQ,YWHAB,a
