Source,Target,signal
PIK3R1,AKT1,a
PIK3CG,AKT1,a
PIK3R2,AKT1,a
RPS6,BCL2,a
IL5RA,BTK,a
CSF2RB,BTK,a
IL5,CSF2RB,a
LYN,CSF2RB,a
MAPK3,ELK1,a
MAPK1,ELK1,a
MAPK3,FOS,a
MAPK1,FOS,a
AKT1,FOXO3A,a
AKT1,GSK3A,a
AKT1,GSK3B,a
SOS1,HRAS,a
IL5,IL5RA,a
IL5RA,JAK1,a
CSF2RB,JAK1,a
IL5RA,JAK2,a
CSF2RB,JAK2,a
MAPK3,JUN,a
MAPK1,JUN,a
RAF1,MAP2K1,a
MAP2K2,MAPK1,a
MAP2K1,MAPK1,a
AKT1,MTOR,a
STAT5B,MYC,a
STAT5A,MYC,a
IL5RA,PIK3R1,a
CSF2RB,PIK3R1,a
STAT5B,PIM1,a
STAT5A,PIM1,a
IL5RA,PTPN11,a
CSF2RB,PTPN11,a
SPRED1,RAF1,i
HRAS,RAF1,a
RPS6KA1,RPS6,a
RPS6KB2,RPS6,a
RPS6KB1,RPS6,a
MTOR,RPS6KA1,a
GRB2,SHC1,a
GRB2,SOS1,a
JAK2,STAT1,a
IL5RA,STAT3,a
CSF2RB,STAT3,a
JAK2,STAT5A,a
STAT5A,STAT5B,a
IL5RA,SYK,a
CSF2RB,SYK,a
LYN,SYK,a
PIK3CG,PIK3R2,a
IL5RA,IL5,a
PIK3R2,PIK3R1,a
MAP2K2,MAP2K1,a
MAP2K1,MAP2K2,a
RPS6KB1,RPS6KA1,a
IL5RA,CSF2RB,a
IL5RA,IL5RA,a
PIK3R1,PIK3R2,a
CSF2RB,IL5RA,a
IL5,IL5,a
RPS6KA1,RPS6KB2,a
RPS6KA1,RPS6KB1,a
RPS6KB2,RPS6KA1,a
PIK3R1,PIK3CG,a
RPS6KB1,RPS6KB2,a
CSF2RB,CSF2RB,a
PIK3CG,PIK3R1,a
CSF2RB,IL5,a
CSF2RB,JAK1,a
MAPK3,MAPK1,a
PTPN11,GRB2,a
MAPK1,MAPK3,a
PIK3R2,PIK3CG,a
RPS6KB2,RPS6KB1,a
STAT5B,STAT5A,a
Ras-MAPK cascade dependent gene expression,FOS,a
Ras-MAPK cascade dependent gene expression,JUN,a
MAPK1,Ras-MAPK cascade dependent gene expression,a
MAPK3,Ras-MAPK cascade dependent gene expression,a
MAPK3,FOS,a
MAPK3,JUN,a
PTPN11,GRB2,a
RPS6,AKT dependent gene expression,a
AKT dependent gene expression,BCL2,a
